時間,學校,準決賽/決賽,two_point_shot,three_point_shot,penalty_shot,勝負
109,南山高中,準決賽,0.35,0.12,0.91,負
109,普門中學,準決賽,0.4,0.28,0.69,勝
109,南山高中,準決賽,0.22,0.21,0.71,負
109,淡水商工,準決賽,0.41,0.09,0.68,勝
109,南山高中,準決賽,0.56,0.3,0.86,勝
109,陽明高中,準決賽,0.41,0.41,0.71,負
109,苗栗高商,準決賽,0.43,0.14,0.4,負
109,陽明高中,準決賽,0.38,0.18,0.75,勝
109,苗栗高商,準決賽,0.43,0.14,0.62,負
109,淡水商工,準決賽,0.45,0.25,0.85,勝
109,苗栗高商,準決賽,0.33,0.24,0.13,負
109,普門中學,準決賽,0.24,0.36,0.5,勝
109,淡水商工,準決賽,0.28,0.21,0.62,勝
109,普門中學,準決賽,0.29,0.21,0.38,負
109,淡水商工,準決賽,0.38,0.21,0.43,勝
109,陽明高中,準決賽,0.37,0.15,0.55,負
109,淡水商工,決賽,0.47,0.05,0.81,勝
109,陽明高中,決賽,0.37,0.06,0.73,負
109,普門中學,準決賽,0.37,0.21,0.58,負
109,陽明高中,準決賽,0.44,0.26,0.64,勝
110,北一女中,準決賽,0.46,0.29,0.56,勝
110,普門中學,準決賽,0.29,0.16,0.84,負
110,北一女中,準決賽,0.48,0.13,0.64,勝
110,金甌女中,準決賽,0.44,0.27,0.78,負
110,北一女中,準決賽,0.59,0.21,0.33,勝
110,南湖高中,準決賽,0.41,0.39,0.75,負
110,北一女中,準決賽,0.46,0.1,0.33,勝
110,南山高中,準決賽,0.43,0.2,0.59,負
110,北一女中,準決賽,0.52,0.26,0.43,勝
110,永仁高中,準決賽,0.43,0.25,0.73,負
110,北一女中,準決賽,0.31,0.13,0.75,負
110,陽明高中,準決賽,0.49,0.36,0.71,勝
110,北一女中,準決賽,0.49,0.19,0.88,勝
110,淡水商工,準決賽,0.51,0.33,0.76,負
110,北一女中,決賽,0.33,0.43,0.59,勝
110,永仁高中,決賽,0.45,0.09,0.52,負
110,北一女中,決賽,0.35,0.17,0.78,負
110,淡水商工,決賽,0.5,0.2,0.53,勝
110,永仁高中,準決賽,0.53,0.2,0.62,勝
110,南湖高中,準決賽,0.29,0.24,0.64,負
110,永仁高中,準決賽,0.45,0.2,0.6,勝
110,南山高中,準決賽,0.41,0.45,0.63,負
110,永仁高中,準決賽,0.48,0.32,0.42,勝
110,普門中學,準決賽,0.36,0.21,0.8,負
110,永仁高中,準決賽,0.44,0.25,0.79,勝
110,金甌女中,準決賽,0.39,0.19,0.75,負
110,永仁高中,準決賽,0.31,0.24,0.68,負
110,淡水商工,準決賽,0.48,0.38,0.86,勝
110,永仁高中,準決賽,0.26,0.19,0.57,負
110,陽明高中,準決賽,0.37,0.05,0.83,勝
110,永仁高中,決賽,0.36,0.24,0.6,勝
110,陽明高中,決賽,0.32,0.23,0.71,負
110,金甌女中,準決賽,0.26,0.36,0.58,負
110,淡水商工,準決賽,0.48,0.16,0.58,勝
110,金甌女中,準決賽,0.51,0.32,0.89,勝
110,陽明高中,準決賽,0.31,0.12,0.83,負
110,金甌女中,準決賽,0.32,0.32,0.43,勝
110,南山高中,準決賽,0.5,0.11,0.29,負
110,金甌女中,準決賽,0.44,0.5,0.83,勝
110,南湖高中,準決賽,0.32,0.23,0.79,負
110,金甌女中,準決賽,0.47,0.06,0.83,負
110,普門中學,準決賽,0.44,0.26,0.73,勝
110,南山高中,準決賽,0.36,0.19,0.54,負
110,陽明高中,準決賽,0.42,0.16,0.88,勝
110,南山高中,準決賽,0.28,0.07,0.63,負
110,淡水商工,準決賽,0.42,0.48,0.87,勝
110,南山高中,準決賽,0.36,0.15,0.62,負
110,普門中學,準決賽,0.37,0.22,0.55,勝
110,南山高中,準決賽,0.33,0.57,0.6,勝
110,南湖高中,準決賽,0.44,0.07,0.74,負
110,南湖高中,準決賽,0.35,0.15,0.7,負
110,陽明高中,準決賽,0.48,0.29,0.63,勝
110,南湖高中,準決賽,0.34,0.21,0.5,負
110,淡水商工,準決賽,0.66,0.31,0.56,勝
110,南湖高中,準決賽,0.3,0.19,0.88,負
110,普門中學,準決賽,0.48,0.44,0.6,勝
110,淡水商工,準決賽,0.45,0.18,0.71,勝
110,普門中學,準決賽,0.33,0.16,0.86,負
110,淡水商工,準決賽,0.5,0.13,0.53,勝
110,陽明高中,準決賽,0.36,0.08,0.87,負
110,淡水商工,決賽,0.44,0.29,0.68,勝
110,陽明高中,決賽,0.43,0.27,0.5,負
110,普門中學,準決賽,0.39,0.18,0.67,負
110,陽明高中,準決賽,0.45,0.39,0.89,勝
